subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
5,35,0.98,3.66,2.65,0.23,1.52,7.18
5,36,-0.09,2.44,2.96,0.36,1.56,2.99
5,37,1.41,3.04,2.53,0.3,1.56,5.61
5,38,-0.94,1.8,4.97,0.27,1.52,2.05
5,39,3.98,4.1,4.1,0.32,1.46,16.34
5,40,-2.81,1.65,3.29,0.29,1.42,5.31
5,41,-0.28,2.54,2.91,0.44,1.43,3.27
5,42,5.24,3.87,2.68,0.46,1.47,21.21
5,43,1.31,4.29,2.66,0.37,1.53,10.07
5,44,-0.8,2.72,2.59,0.37,1.57,4.01
5,45,0.7,2.73,2.45,0.32,1.57,3.98
5,46,0.89,3.31,2.68,0.21,1.53,5.88
5,47,0.09,3.36,2.75,0.21,1.47,5.64
5,48,0.56,3.17,2.37,0.2,1.43,5.17
5,49,0.89,3.91,3.45,0.27,1.43,8.06
5,50,0.42,3.33,2.6,0.37,1.48,5.62
5,51,0.94,2.78,3.08,0.19,1.55,4.31
5,52,-0.23,2.52,4.53,0.35,1.6,3.21
5,53,2.81,3.57,2.53,0.24,1.6,10.31
5,54,2.16,4.31,2.79,0.27,1.57,11.6
5,55,1.31,5.21,2.89,0.39,1.52,14.42
5,56,0.98,3.36,2.77,0.22,1.48,6.12
5,57,0.94,3.2,3.73,0.36,1.48,5.56
5,58,12.12,3.31,2.72,0.14,1.53,78.96
5,59,-0.94,3.5,3.25,0.39,1.59,6.57
5,60,5.89,4.37,2.93,0.36,1.63,26.9
5,61,6.54,3.23,3.07,0.31,1.63,26.61
5,62,1.22,2.54,3.84,0.34,1.59,3.97
5,63,0.56,2.8,2.68,0.35,1.51,4.07
5,64,-0.09,3.28,4.31,0.34,1.46,5.38
5,65,5.24,3.02,2.98,0.27,1.46,18.3
5,66,0.19,2.2,2.69,0.23,1.51,2.44
5,67,-0.42,2.59,2.64,0.32,1.57,3.44
5,68,-0.38,1.58,2.63,0.27,1.63,1.33
5,69,0.56,2.2,2.35,0.33,1.65,2.58
5,70,1.17,1.86,2.35,0.35,1.63,2.42
5,71,-0.56,2.01,2.39,0.32,1.59,2.17
5,72,1.41,2.83,6.16,0.38,1.58,4.99
5,73,2.3,2.1,2.85,0.42,1.6,4.85
5,74,2.3,3.09,3.1,0.46,1.66,7.4
5,75,1.22,2.43,2.12,0.3,1.74,3.69
5,76,-1.36,2.86,3.61,0.42,1.79,5.02
5,77,-1.08,2.88,2.58,0.28,1.8,4.72
5,78,0,3.5,3.22,0.4,1.77,6.13
5,79,1.31,2.85,2.97,0.24,1.71,4.91
5,80,2.25,3.05,2.7,0.34,1.67,7.2
6,1,10.31,2.64,4.37,0.42,1,56.66
6,2,12.12,2.3,4.8,0.21,1.03,76.12
6,3,9.17,2.84,3.78,0.43,1.06,46.08
6,4,12.21,2.38,3.7,0.31,1.09,77.4
6,5,11.58,2.86,3.74,0.12,1.08,71.16
6,6,10.36,2.22,4.91,0.45,1.04,56.1
6,7,9.9,1.69,4.55,0.33,0.98,50.44
6,8,11.4,2.25,3.47,0.16,0.94,67.53
6,9,11.08,2.88,3.87,0.24,0.96,65.56
6,10,7.51,2.22,3.49,0.42,1.01,30.69
